Data	MoNbTaWV_2D_silea
Recipe	MISAC3
Points	3531
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
96	  -8578.99	   41610.1	   41612.7	   41612.7	   41612.7
97	  -8140.44	   42107.6	   42115.7	   42115.7	   42115.7
98	     -7656	   42649.6	   42637.4	   42637.4	   42637.4
99	  -7176.79	   43187.2	   43171.7	   43171.7	   43171.7
100	  -6673.78	   43747.2	   43706.3	   43706.3	   43706.3
101	   -6202.3	   44275.7	   44228.3	   44228.3	   44228.3
102	  -5754.98	   44779.8	   44729.2	   44729.2	   44729.2
103	  -5345.18	   45246.7	     45209	     45209	     45209
104	  -4957.29	   45692.9	   45675.3	   45675.3	   45675.3
105	  -4548.09	   46159.5	   46137.6	   46137.6	   46137.6
106	  -4148.03	   46617.4	   46601.9	   46601.9	   46601.9
107	  -3742.62	   47081.4	   47070.2	   47070.2	   47070.2
108	  -3306.11	   47574.9	   47539.5	   47539.5	   47539.5
109	  -2897.23	   48040.6	   48004.5	   48004.5	   48004.5
110	   -2516.8	   48479.2	   48466.2	   48466.2	   48466.2
111	  -2120.95	   48933.6	   48934.3	   48934.3	   48934.3
112	  -1698.99	   49414.3	   49418.8	   49418.8	   49418.8
113	  -1243.04	   49928.7	   49921.1	   49921.1	   49921.1
114	  -763.575	   50465.4	   50432.5	   50432.5	   50432.5
115	  -301.833	   50983.4	   50941.7	   50941.7	   50941.7
116	   112.521	   51456.8	   51443.6	   51443.6	   51443.6
117	   571.127	   51972.6	   51936.9	   51936.9	   51936.9
118	   1011.66	   52469.4	   52416.9	   52416.9	   52416.9
119	   1405.36	   52920.2	   52877.8	   52877.8	   52877.8
120	   1781.33	   53353.4	   53321.7	   53321.7	   53321.7
121	   2143.46	   53773.2	   53759.4	   53759.4	   53759.4
122	   2502.43	   54192.1	   54204.1	   54204.1	   54204.1
123	   2932.17	   54679.6	   54659.9	   54659.9	   54659.9
124	   3362.96	   55166.5	   55117.5	   55117.5	   55117.5
125	   3743.34	     55604	   55564.7	   55564.7	   55564.7
126	   4105.89	     56024	   56001.1	   56001.1	   56001.1
127	   4463.23	   56439.9	   56438.4	   56438.4	   56438.4
128	   4845.35	   56881.2	   56890.2	   56890.2	   56890.2
129	   5269.81	   57364.3	   57363.1	   57363.1	   57363.1
130	   5720.64	   57872.4	   57854.2	   57854.2	   57854.2
131	   6158.06	   58368.2	   58358.3	   58358.3	   58358.3
132	   6615.26	   58883.4	   58873.1	   58873.1	   58873.1
133	   7080.28	   59407.1	   59398.1	   59398.1	   59398.1
134	   7571.12	   59955.1	   59930.9	   59930.9	   59930.9
135	   8046.61	   60488.6	   60466.8	   60466.8	   60466.8
136	    8526.8	   61026.6	   61000.9	   61000.9	   61000.9
137	      9010	   61566.7	   61528.1	   61528.1	   61528.1
138	   9470.84	   62084.1	   62044.5	   62044.5	   62044.5
139	   9899.79	   62571.4	   62550.5	   62550.5	   62550.5
140	   10343.3	   63072.7	   63049.7	   63049.7	   63049.7
141	   10790.7	   63577.4	   63542.3	   63542.3	   63542.3
142	   11224.1	   64067.4	   64022.4	   64022.4	   64022.4
143	   11630.8	   64530.6	   64484.8	   64484.8	   64484.8
144	   12003.2	   64960.5	   64930.7	   64930.7	   64930.7
145	   12370.7	   65385.9	   65368.6	   65368.6	   65368.6
146	   12743.7	   65817.1	   65809.1	   65809.1	   65809.1
147	     13130	   66262.4	   66259.5	   66259.5	   66259.5
148	   13548.6	     66739	   66719.1	   66719.1	   66719.1
149	   13975.4	     67222	   67178.9	   67178.9	   67178.9
150	   14363.3	   67666.7	     67631	     67631	     67631
151	   14728.6	   68090.2	   68077.8	   68077.8	   68077.8
152	   15106.1	   68527.1	   68529.4	   68529.4	   68529.4
153	     15525	   69004.3	   68991.5	   68991.5	   68991.5
154	   15958.5	   69494.5	   69458.3	   69458.3	   69458.3
155	   16368.5	   69960.9	   69919.5	   69919.5	   69919.5
156	   16745.5	   70395.7	   70370.9	   70370.9	   70370.9
157	   17126.1	   70834.5	   70816.4	   70816.4	   70816.4
158	   17516.3	   71282.5	     71260	     71260	     71260
159	     17909	   71732.3	   71701.3	   71701.3	   71701.3
160	   18288.2	   72168.3	   72139.7	   72139.7	   72139.7
161	   18644.6	   72583.5	   72579.5	   72579.5	   72579.5
162	   19030.1	   73028.6	   73027.2	   73027.2	   73027.2
163	   19458.3	   73513.6	   73481.4	   73481.4	   73481.4
164	   19865.9	   73977.3	     73932	     73932	     73932
165	   20235.6	   74404.1	   74371.2	   74371.2	   74371.2
166	   20593.1	   74819.9	   74801.3	   74801.3	   74801.3
167	   20963.1	   75247.8	   75228.3	   75228.3	   75228.3
168	   21337.6	   75679.7	   75655.5	   75655.5	   75655.5
169	   21704.7	   76104.6	   76082.6	   76082.6	   76082.6
170	     22074	   76531.6	   76508.5	   76508.5	   76508.5
171	   22445.7	   76960.7	   76930.8	   76930.8	   76930.8
172	   22808.9	   77380.8	   77346.4	   77346.4	   77346.4
173	   23155.3	   77784.2	   77755.2	   77755.2	   77755.2
174	   23485.9	   78172.9	   78163.8	   78163.8	   78163.8
175	   23827.1	   78573.9	   78584.7	   78584.7	   78584.7
176	   24213.2	   79019.4	   79028.5	   79028.5	   79028.5
177	   24635.9	   79500.5	   79497.4	   79497.4	   79497.4
178	   25074.7	   79997.6	   79985.4	   79985.4	   79985.4
179	   25525.7	   80506.1	   80483.8	   80483.8	   80483.8
180	   25971.1	     81009	   80985.7	   80985.7	   80985.7
181	   26412.2	   81508.4	     81487	     81487	     81487
182	   26863.6	     82017	     81983	     81983	     81983
183	   27305.2	   82514.7	   82466.3	   82466.3	   82466.3
184	   27713.2	   82978.6	   82930.8	   82930.8	   82930.8
185	     28084	   83406.7	     83379	     83379	     83379
186	   28445.5	   83827.3	   83822.7	   83822.7	   83822.7
187	   28834.7	   84275.7	   84273.8	   84273.8	   84273.8
188	   29255.4	   84754.2	   84735.4	   84735.4	   84735.4
189	     29678	   85233.7	   85200.6	   85200.6	   85200.6
190	   30083.6	     85696	   85660.7	   85660.7	   85660.7
191	   30468.9	   86139.1	   86111.8	   86111.8	   86111.8
192	   30856.3	   86583.9	   86553.6	   86553.6	   86553.6
193	   31237.3	   87021.7	   86985.9	   86985.9	   86985.9
194	   31601.4	   87442.4	   87409.2	   87409.2	   87409.2
195	   31942.2	   87841.2	     87830	     87830	     87830
196	   32289.4	   88248.8	   88260.3	   88260.3	   88260.3
197	   32691.1	   88709.7	   88708.7	   88708.7	   88708.7
198	   33122.3	   89197.8	   89171.3	   89171.3	   89171.3
199	   33536.7	   89669.1	   89637.2	   89637.2	   89637.2
200	   33935.6	   90125.7	   90098.5	   90098.5	   90098.5
201	   34334.6	     90582	   90553.4	   90553.4	   90553.4
202	   34723.8	   91028.6	   91003.3	   91003.3	   91003.3
203	   35107.9	   91470.6	   91450.3	   91450.3	   91450.3
204	     35497	   91917.7	   91896.3	   91896.3	   91896.3
205	   35890.8	   92368.5	     92341	     92341	     92341
