Data	MoNbTaWV_2D_karkea
Recipe	MISAC3
Points	3696
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
95	  -38359.8	     37035	   37023.6	   37023.6	   37023.6
96	  -38249.9	   37500.4	   37492.3	   37492.3	   37492.3
97	  -38141.5	   37964.8	   37956.7	   37956.7	   37956.7
98	  -38031.8	   38428.6	   38417.8	   38417.8	   38417.8
99	  -37935.2	   38880.8	   38877.1	   38877.1	   38877.1
100	  -37839.5	   39334.8	   39337.3	   39337.3	   39337.3
101	  -37724.5	   39805.5	   39799.5	   39799.5	   39799.5
102	    -37610	   40274.1	   40261.2	   40261.2	   40261.2
103	  -37508.3	   40730.9	     40719	     40719	     40719
104	  -37411.7	   41182.3	   41171.7	   41171.7	   41171.7
105	  -37322.6	   41626.8	     41621	     41621	     41621
106	  -37235.8	   42070.5	   42070.6	   42070.6	   42070.6
107	  -37140.4	     42523	   42523.7	   42523.7	   42523.7
108	  -37034.9	   42984.6	   42980.8	   42980.8	   42980.8
109	  -36926.7	   43448.1	     43440	     43440	     43440
110	    -36822	   43907.8	   43898.8	   43898.8	   43898.8
111	  -36723.1	   44362.9	   44355.9	   44355.9	   44355.9
112	    -36621	   44820.3	   44810.3	   44810.3	   44810.3
113	    -36522	   45273.7	   45261.3	   45261.3	   45261.3
114	  -36433.1	   45717.9	   45708.3	   45708.3	   45708.3
115	  -36347.2	   46159.4	   46152.4	   46152.4	   46152.4
116	  -36262.2	   46600.8	   46594.8	   46594.8	   46594.8
117	  -36172.7	   47045.6	   47035.9	   47035.9	   47035.9
118	  -36085.8	   47486.1	   47475.6	   47475.6	   47475.6
119	  -36013.6	   47915.5	   47915.6	   47915.6	   47915.6
120	  -35931.3	   48356.7	   48358.2	   48358.2	   48358.2
121	  -35826.7	   48815.4	   48802.8	   48802.8	   48802.8
122	  -35733.5	     49262	   49245.2	   49245.2	   49245.2
123	  -35656.9	   49693.8	   49682.3	   49682.3	   49682.3
124	  -35583.8	   50122.6	   50114.9	   50114.9	   50114.9
125	  -35510.5	   50551.5	   50546.1	   50546.1	   50546.1
126	  -35437.6	   50981.2	   50979.3	   50979.3	   50979.3
127	  -35358.3	   51417.1	   51416.9	   51416.9	   51416.9
128	    -35273	   51860.3	   51859.1	   51859.1	   51859.1
129	  -35173.1	   52316.6	   52301.7	   52301.7	   52301.7
130	  -35069.5	     52769	   52736.5	   52736.5	   52736.5
131	  -35010.6	   53180.1	   53157.9	   53157.9	   53157.9
132	  -34974.1	     53574	   53568.5	   53568.5	   53568.5
133	  -34926.5	     53978	   53976.5	   53976.5	   53976.5
134	  -34873.9	   54387.6	   54388.7	   54388.7	   54388.7
135	  -34812.7	   54806.8	   54807.9	   54807.9	   54807.9
136	  -34737.1	   55238.7	   55232.9	   55232.9	   55232.9
137	    -34658	   55672.1	   55660.2	   55660.2	   55660.2
138	  -34587.4	   56097.8	   56086.7	   56086.7	   56086.7
139	  -34520.9	   56519.6	   56511.9	   56511.9	   56511.9
140	    -34457	   56940.7	   56937.3	   56937.3	   56937.3
141	    -34384	   57370.6	   57364.1	   57364.1	   57364.1
142	  -34303.6	   57804.9	   57790.7	   57790.7	   57790.7
143	  -34234.2	   58228.6	   58214.6	   58214.6	   58214.6
144	  -34173.4	   58644.9	   58634.7	   58634.7	   58634.7
